step,epoch,loss_jepa,loss_total,lr,grad_norm,throughput,val_loss
379,4,0.466067,0.466067,2.78e-05,0.1603,0.07,
380,5,0.482068,0.482068,2.81e-05,0.3103,0.08,
381,5,0.473427,0.473427,2.84e-05,0.0916,0.08,
382,5,0.473358,0.473358,2.87e-05,0.1291,0.08,
383,5,0.478622,0.478622,2.89e-05,0.1083,0.08,
384,5,0.469338,0.469338,2.92e-05,0.1705,0.08,
385,5,0.471475,0.471475,2.95e-05,0.1839,0.09,
386,5,0.470519,0.470519,2.98e-05,0.1037,0.08,
387,5,0.469229,0.469229,3.01e-05,0.1144,0.08,
388,5,0.477357,0.477357,3.04e-05,0.1119,0.09,
389,5,0.474382,0.474382,3.07e-05,0.1501,0.08,
389,5,,,,,,0.471979
390,5,0.467659,0.467659,3.10e-05,0.1697,0.01,
391,5,0.462960,0.462960,3.13e-05,0.1377,0.07,
392,5,0.479302,0.479302,3.16e-05,0.1110,0.08,
393,5,0.473691,0.473691,3.19e-05,0.1180,0.08,
394,5,0.472886,0.472886,3.22e-05,0.1254,0.08,
395,5,0.461196,0.461196,3.25e-05,0.1360,0.08,
396,5,0.467984,0.467984,3.27e-05,0.2326,0.08,
397,5,0.467345,0.467345,3.30e-05,0.1514,0.07,
398,5,0.481120,0.481120,3.33e-05,0.1118,0.08,
399,5,0.461364,0.461364,3.36e-05,0.1081,0.08,
400,5,0.471710,0.471710,3.39e-05,0.1586,0.08,
401,5,0.476350,0.476350,3.42e-05,0.1044,0.09,
402,5,0.468470,0.468470,3.45e-05,0.3830,0.08,
403,5,0.473879,0.473879,3.48e-05,0.1349,0.09,
404,5,0.470046,0.470046,3.51e-05,0.0957,0.08,
404,5,,,,,,0.468940
405,5,0.460687,0.460687,3.54e-05,0.1349,0.01,
406,5,0.473662,0.473662,3.57e-05,0.0873,0.08,
407,5,0.461426,0.461426,3.60e-05,0.1191,0.08,
408,5,0.468301,0.468301,3.63e-05,0.1584,0.08,
409,5,0.470352,0.470352,3.65e-05,0.0969,0.09,
410,5,0.468762,0.468762,3.68e-05,0.1080,0.08,
411,5,0.461257,0.461257,3.71e-05,0.1165,0.08,
412,5,0.463563,0.463563,3.74e-05,0.1114,0.08,
413,5,0.472846,0.472846,3.77e-05,0.1170,0.08,
414,5,0.464132,0.464132,3.80e-05,0.2737,0.08,
415,5,0.457957,0.457957,3.83e-05,0.1699,0.08,
416,5,0.461857,0.461857,3.86e-05,0.1587,0.08,
417,5,0.472073,0.472073,3.89e-05,0.1558,0.08,
418,5,0.469492,0.469492,3.92e-05,0.1055,0.08,
419,5,0.474940,0.474940,3.95e-05,0.0818,0.08,
419,5,,,,,,0.468967
420,5,0.467895,0.467895,3.98e-05,0.0927,0.01,
421,5,0.464833,0.464833,4.01e-05,0.1282,0.07,
422,5,0.471263,0.471263,4.04e-05,0.1036,0.08,
423,5,0.467559,0.467559,4.06e-05,0.0898,0.08,
424,5,0.465971,0.465971,4.09e-05,0.1135,0.08,
425,5,0.464445,0.464445,4.12e-05,0.2729,0.08,
426,5,0.460443,0.460443,4.15e-05,0.1690,0.07,
427,5,0.474477,0.474477,4.18e-05,0.0991,0.09,
428,5,0.461152,0.461152,4.21e-05,0.0987,0.08,
429,5,0.470254,0.470254,4.24e-05,0.0935,0.08,
